Date,Open,High,Low,Close
16/06/2022,174,176.270004,171.559998,173.350006
15/06/2022,169.259995,183.850006,168.529999,180.110001
14/06/2022,169.75,172.059998,164.279999,167.539993
13/06/2022,177.070007,179.089996,168.960007,169.690002
10/06/2022,182.639999,185.860001,180.850006,182.940002
09/06/2022,200.649994,201.690002,192.539993,192.770004
08/06/2022,197.949997,207.380005,197.639999,202.830002
07/06/2022,194.869995,199.600006,193,198.610001
06/06/2022,202.089996,203.869995,195.380005,197.139999
03/06/2022,200.139999,202.949997,198.050003,198.979996
02/06/2022,192.020004,205.470001,191.720001,205.089996
01/06/2022,198.699997,202.740005,191.660004,192.910004
31/05/2022,196.179993,199.949997,190.800003,197.440002
27/05/2022,193.190002,195.25,190.369995,195.190002
26/05/2022,186.490005,192.339996,183.089996,191.399994
25/05/2022,180.279999,188.869995,180.169998,187.830002
24/05/2022,182,184,177.169998,180.339996
23/05/2022,186.149994,187.660004,177.889999,187.440002
20/05/2022,185.869995,190.190002,179.770004,186.350006
19/05/2022,178.050003,186.300003,175.710007,183.479996
18/05/2022,186.720001,187.699997,176.270004,177.190002
17/05/2022,189.169998,191.399994,185.169998,190.559998
16/05/2022,193.300003,195.889999,185.699997,186.509995
13/05/2022,177.160004,187.770004,176.009995,187.639999
12/05/2022,163.960007,177.580002,162.710007,174.309998
11/05/2022,176.089996,180.919998,165.550003,166.369995
10/05/2022,176.009995,181.869995,170.570007,177.660004
09/05/2022,177.660004,183.199997,172.300003,173.100006
06/05/2022,186.75,187.210007,175.809998,180.970001
05/05/2022,200.449997,200.710007,186,188.320007
04/05/2022,197.649994,204.380005,191.009995,204.009995
03/05/2022,198.289993,203.199997,194.770004,199.869995
02/05/2022,191.710007,200.210007,190.009995,199.460007
29/04/2022,198.679993,204.710007,190,190.360001
28/04/2022,191.559998,201.479996,185.600006,199.520004
27/04/2022,194.009995,200.190002,187.770004,188.539993
26/04/2022,208.800003,209.149994,198.279999,198.399994
25/04/2022,213.809998,216.660004,204.509995,209.910004
22/04/2022,220.179993,226.270004,210.050003,215.520004
21/04/2022,220,227.679993,211.520004,218.220001
20/04/2022,245.199997,248.699997,212.509995,226.190002
19/04/2022,333.220001,351.679993,333.220001,348.609985
18/04/2022,340,342.359985,331.619995,337.859985
14/04/2022,350.950012,352,339.859985,341.130005
13/04/2022,343.920013,352,341.160004,350.429993
12/04/2022,355.910004,359.410004,342.25,344.100006
11/04/2022,350,354.779999,345.200012,348
08/04/2022,361.959991,362.5,354.869995,355.880005
07/04/2022,365,368.540009,353.690002,362.149994
06/04/2022,374.149994,376.470001,362.730011,368.350006
05/04/2022,389.299988,390,377.309998,380.149994
04/04/2022,373.549988,396.019989,373.130005,391.5
01/04/2022,376.799988,380.869995,368.5,373.470001
31/03/2022,383.589996,384,373.609985,374.589996
30/03/2022,389.549988,392.700012,378.630005,381.470001
29/03/2022,384.390015,396.5,380.329987,391.820007
28/03/2022,375.230011,380.279999,366.730011,378.51001
25/03/2022,377.070007,377.640015,366.429993,373.850006
24/03/2022,379.76001,379.76001,368.899994,375.709991
23/03/2022,379.769989,382.459991,374.48999,374.48999
22/03/2022,371.140015,386.660004,366.76001,382.920013
21/03/2022,378.019989,381.820007,368.940002,374.589996
18/03/2022,372,381.799988,368.470001,380.600006
17/03/2022,359.700012,373.309998,354.880005,371.399994
16/03/2022,348.200012,359.98999,343.059998,357.529999
15/03/2022,335.100006,345.359985,332.359985,343.75
14/03/2022,338.720001,341.320007,329.820007,331.01001
11/03/2022,361.190002,363.359985,340,340.320007
10/03/2022,356.200012,367.019989,353.299988,356.769989
09/03/2022,357.690002,364.140015,350.51001,358.790009
08/03/2022,349.799988,358.859985,340.670013,341.76001
07/03/2022,360.410004,362,350.200012,350.26001
04/03/2022,368,374.820007,357.170013,361.730011
03/03/2022,386,386.119995,364.649994,368.070007
02/03/2022,388.929993,389.220001,375.209991,380.029999
01/03/2022,391.600006,395,383.709991,386.23999
28/02/2022,387.329987,397.75,382.130005,394.519989
25/02/2022,386.609985,391.290009,375.579987,390.799988
24/02/2022,355.089996,390.730011,354.720001,390.029999
23/02/2022,382.720001,386,366.660004,367.459991
22/02/2022,388.950012,392.420013,373.019989,377.380005
18/02/2022,392.529999,402.869995,389.049988,391.290009
17/02/2022,394.23999,399.109985,385.700012,386.670013
16/02/2022,401.529999,401.559998,390.380005,398.079987
15/02/2022,403.790009,409.160004,401.01001,407.459991
14/02/2022,387.589996,409.359985,386.890015,396.570007
11/02/2022,405.329987,411.609985,387.649994,391.309998
10/02/2022,402.100006,408,396.359985,406.269989
09/02/2022,408.649994,412.980011,398.790009,412.890015
08/02/2022,398.179993,406.609985,395.829987,403.529999
07/02/2022,410.170013,412.350006,393.549988,402.100006
04/02/2022,407.309998,412.769989,396.640015,410.170013
03/02/2022,421.440002,429.26001,404.279999,405.600006
02/02/2022,448.25,451.980011,426.480011,429.480011
01/02/2022,432.959991,458.480011,425.540009,457.130005
31/01/2022,401.970001,427.700012,398.200012,427.140015
28/01/2022,386.76001,387,372.079987,384.359985
27/01/2022,382.059998,394.799988,378.100006,386.700012
26/01/2022,378.269989,382.660004,356.619995,359.700012
25/01/2022,379.140015,387.709991,365.130005,366.420013
24/01/2022,383.910004,387.26001,351.459991,387.149994
21/01/2022,400.429993,409.149994,379.98999,397.5
20/01/2022,517.75,526.640015,506.929993,508.25
19/01/2022,515,523.210022,510.51001,515.859985
18/01/2022,520.080017,521.75,508.679993,510.799988
14/01/2022,517.599976,538.369995,511.880005,525.690002
13/01/2022,537.059998,540.789978,518.26001,519.200012
12/01/2022,544.27002,544.27002,532.02002,537.219971
11/01/2022,536.98999,543.909973,530.070007,540.840027
10/01/2022,538.48999,543.690002,526.320007,539.849976
07/01/2022,549.460022,553.429993,538.219971,541.059998
06/01/2022,554.340027,563.359985,542.01001,553.289978
05/01/2022,592,592.840027,566.880005,567.52002
04/01/2022,599.909973,600.409973,581.599976,591.150024
03/01/2022,605.609985,609.98999,590.559998,597.369995
31/12/2021,610.01001,614.080017,602.049988,602.440002
30/12/2021,612.98999,620.609985,611.23999,612.090027
29/12/2021,610.710022,613.97998,604.679993,610.539978
28/12/2021,614.950012,618.409973,609.690002,610.710022
27/12/2021,615,615,609.25,613.119995
23/12/2021,616.400024,616.880005,607.570007,614.090027
22/12/2021,603.359985,614.820007,602.630005,614.23999
21/12/2021,597.539978,607.820007,593.859985,604.919983
20/12/2021,586.429993,602.880005,584.26001,593.73999
17/12/2021,591.609985,593.25,581.73999,586.72998
16/12/2021,597.090027,602.830017,588,591.059998
15/12/2021,598.179993,605.690002,584.51001,605.039978
14/12/2021,598.710022,602.289978,588.130005,597.98999
13/12/2021,612,612.640015,599.52002,604.559998
10/12/2021,616.780029,617.73999,605.880005,611.659973
09/12/2021,627.580017,630.23999,610.440002,611
08/12/2021,630,632.460022,623.200012,628.080017
07/12/2021,619.830017,628.890015,611.400024,625.580017
06/12/2021,606.01001,617.289978,601,612.690002
03/12/2021,622.75,625.5,594,602.130005
02/12/2021,617.099976,625.359985,612.880005,616.469971
01/12/2021,649.47998,654.52002,617.070007,617.77002
30/11/2021,668.200012,675.380005,640.01001,641.900024
29/11/2021,663.200012,667.98999,658.289978,663.840027
26/11/2021,675,676.409973,660.669983,665.640015
24/11/2021,658.01001,661.440002,651.099976,658.289978
23/11/2021,658.179993,666.429993,646.049988,654.059998
22/11/2021,676.02002,679.47998,656.469971,659.200012
19/11/2021,692.349976,694.159973,675,678.799988
18/11/2021,691.609985,691.73999,679.73999,682.02002
17/11/2021,690,700.98999,686.090027,691.690002
16/11/2021,678.27002,688.359985,676.900024,687.400024
15/11/2021,681.23999,685.26001,671.48999,679.330017
12/11/2021,660.01001,683.340027,653.820007,682.609985
11/11/2021,650.23999,665.820007,649.710022,657.580017
10/11/2021,653.01001,660.330017,642.109985,646.909973
09/11/2021,653.700012,660.5,650.52002,655.98999
08/11/2021,650.289978,656,643.789978,651.450012
05/11/2021,663.969971,665.640015,645.01001,645.719971
04/11/2021,685.890015,685.940002,665.5,668.400024
03/11/2021,677.27002,689.390015,677.27002,688.289978
02/11/2021,683.109985,687.679993,673.820007,677.719971
01/11/2021,689.059998,689.969971,676.539978,681.169983
29/10/2021,673.059998,690.969971,671.23999,690.309998
28/10/2021,670.950012,676.799988,668.030029,674.049988
27/10/2021,669,671.409973,661.849976,662.919983
26/10/2021,673.76001,676.48999,662.77002,668.52002
25/10/2021,663.73999,675.880005,657.070007,671.659973
22/10/2021,651.809998,665.460022,651.809998,664.780029
21/10/2021,628.890015,654.01001,628.650024,653.159973
20/10/2021,625.570007,637.400024,617.150024,625.140015
19/10/2021,636.969971,641,632.299988,639
18/10/2021,632.099976,638.409973,620.590027,637.969971
15/10/2021,638,639.419983,625.159973,628.289978
14/10/2021,632.22998,636.880005,626.789978,633.799988
13/10/2021,632.179993,632.179993,622.099976,629.76001
12/10/2021,633.02002,637.659973,621.98999,624.940002
11/10/2021,633.200012,639.419983,626.780029,627.039978
08/10/2021,634.169983,643.799988,630.859985,632.659973
07/10/2021,642.22998,646.840027,630.450012,631.849976
06/10/2021,628.179993,639.869995,626.359985,639.099976
05/10/2021,606.940002,640.390015,606.890015,634.809998
04/10/2021,613.390015,626.130005,594.679993,603.349976
01/10/2021,604.23999,614.98999,597.51001,613.150024
30/09/2021,608.049988,619,608.049988,610.340027
29/09/2021,589.01001,609.880005,588.01001,599.059998
28/09/2021,589,599.539978,580.159973,583.849976
27/09/2021,587.950012,593.580017,576.929993,592.640015
24/09/2021,592.5,592.97998,583.640015,592.390015
23/09/2021,590.789978,599.320007,589.130005,593.26001
22/09/2021,579.690002,595.650024,579.690002,590.650024
21/09/2021,578.309998,581.880005,569.369995,573.140015
20/09/2021,586.789978,591.530029,568.080017,575.429993
17/09/2021,587.849976,590.280029,580.849976,589.349976
16/09/2021,584.299988,587.47998,577.719971,586.5
15/09/2021,578.169983,584.619995,575.369995,582.869995
14/09/2021,584.890015,587.280029,575.559998,577.76001
13/09/2021,598.570007,598.570007,582.780029,589.289978
10/09/2021,598.159973,609.450012,593.669983,598.719971
09/09/2021,606.469971,609.440002,596.549988,597.539978
08/09/2021,603.840027,615.599976,595.710022,606.049988
07/09/2021,594.690002,613.849976,593.98999,606.710022
03/09/2021,585.799988,591.880005,583.140015,590.530029
02/09/2021,583.679993,598.76001,583.679993,588.549988
01/09/2021,569,591,569,582.070007
31/08/2021,566.119995,569.47998,561.609985,569.190002
30/08/2021,557.25,567.159973,556.450012,566.179993
27/08/2021,551.599976,564.169983,549.25,558.919983
26/08/2021,546.159973,552.599976,545.900024,550.119995
25/08/2021,550.159973,552.840027,545.450012,547.580017
24/08/2021,551.47998,555.309998,549.27002,553.409973
23/08/2021,545.97998,555.549988,543.73999,553.330017
20/08/2021,545.090027,551.390015,539.099976,546.880005
19/08/2021,522.73999,548.390015,521.869995,543.710022
18/08/2021,520,526.380005,518.650024,521.869995
17/08/2021,515.469971,520.789978,514.200012,518.909973
16/08/2021,515.23999,523.380005,512.299988,517.919983
13/08/2021,512.640015,521.440002,511.51001,515.919983
